Chunk,Type,Correct Form
Sit up,Particles,TRUE
Turn down,Particles,TRUE
Back up,Particles,TRUE
Put back,Particles,TRUE
Send out,Particles,TRUE
Get in,Particles,TRUE
Blow up,Particles,TRUE
Carry on,Particles,TRUE
Set off,Particles,TRUE
Keep on,Particles,TRUE
Run out,Particles,TRUE
Make out,Particles,TRUE
Shut up,Particles,TRUE
Turn off,Particles,TRUE
Bring about,Particles,TRUE
Step back,Particles,TRUE
Lay down,Particles,TRUE
Bring down,Particles,TRUE
Stand out,Particles,TRUE
Come along,Particles,TRUE
Play out,Particles,TRUE
Break out,Particles,TRUE
Go around,Particles,TRUE
Walk out,Particles,TRUE
Get through,Particles,TRUE
Hold back,Particles,TRUE
Write down,Particles,TRUE
Move back,Particles,TRUE
Fill out,Particles,TRUE
Sit back,Particles,TRUE
Rule out,Particles,TRUE
Move up,Particles,TRUE
Pick out,Particles,TRUE
Take down,Particles,TRUE
Get on,Particles,TRUE
Give back,Particles,TRUE
Hand over,Particles,TRUE
Sum up,Particles,TRUE
Move out,Particles,TRUE
Come off,Particles,TRUE
Pass on,Particles,TRUE
Take in,Particles,TRUE
Set down,Particles,TRUE
Sort out,Particles,TRUE
Follow up,Particles,TRUE
Come through,Particles,TRUE
Settle down,Particles,TRUE
Come around,Particles,TRUE
Fill in,Particles,TRUE
Give out,Particles,TRUE
Give in,Particles,TRUE
Go along,Particles,TRUE
Break off,Particles,TRUE
Put off,Particles,TRUE
Come about,Particles,TRUE
Close down,Particles,TRUE
Put in,Particles,TRUE
Set about,Particles,TRUE
afterlife,Compounds,TRUE
afternoon,Compounds,TRUE
aircraft,Compounds,TRUE
airfield,Compounds,TRUE
airline,Compounds,TRUE
airplane,Compounds,TRUE
airport,Compounds,TRUE
airtime,Compounds,TRUE
allover,Compounds,TRUE
alongside,Compounds,TRUE
also,Compounds,TRUE
anybody,Compounds,TRUE
anyhow,Compounds,TRUE
anymore,Compounds,TRUE
anyone,Compounds,TRUE
anyplace,Compounds,TRUE
anything,Compounds,TRUE
anytime,Compounds,TRUE
anywhere,Compounds,TRUE
around,Compounds,TRUE
ashtray,Compounds,TRUE
babysitter,Compounds,TRUE
backache,Compounds,TRUE
backbone,Compounds,TRUE
backdrop,Compounds,TRUE
backfire,Compounds,TRUE
background,Compounds,TRUE
backhand,Compounds,TRUE
backpack,Compounds,TRUE
backside,Compounds,TRUE
backslide,Compounds,TRUE
backspace,Compounds,TRUE
backstage,Compounds,TRUE
backward,Compounds,TRUE
ballpark,Compounds,TRUE
ballroom,Compounds,TRUE
baseball,Compounds,TRUE
basketball,Compounds,TRUE
bathrobe,Compounds,TRUE
bathtub,Compounds,TRUE
battleship,Compounds,TRUE
became,Compounds,TRUE
because,Compounds,TRUE
become,Compounds,TRUE
bellboy,Compounds,TRUE
below,Compounds,TRUE
birthday,Compounds,TRUE
blackberries,Compounds,TRUE
blackbird,Compounds,TRUE
blackboard,Compounds,TRUE
blackjack,Compounds,TRUE
blacklist,Compounds,TRUE
blackmail,Compounds,TRUE
blackout,Compounds,TRUE
blacksmith,Compounds,TRUE
